country or territory,who_region,time,response,mean,standard_dev,95%HPDlow,95%HPDhigh,
Algeria,AFR,2015.833,strongly agree,74.18,2.11,70.19,78.44,
Algeria,AFR,2016.333,strongly agree,70.92,12.92,45.12,92.88,
Algeria,AFR,2018.250,strongly agree,49.59,15.78,21.14,77.70,
Algeria,AFR,2018.333,strongly agree,47.92,13.71,21.47,71.69,
Algeria,AFR,2018.417,strongly agree,49.12,12.47,25.78,70.90,
Algeria,AFR,2018.500,strongly agree,46.67,11.02,26.21,65.75,
Algeria,AFR,2018.583,strongly agree,45.92,8.79,28.07,60.58,
Algeria,AFR,2018.667,strongly agree,45.11,7.43,30.98,58.28,
Algeria,AFR,2018.750,strongly agree,45.10,1.61,42.19,48.38,
Algeria,AFR,2018.833,strongly agree,47.73,7.16,34.43,61.58,
Algeria,AFR,2018.917,strongly agree,49.57,8.80,33.90,67.15,
Algeria,AFR,2019.250,strongly agree,58.14,13.67,36.12,86.01,
Algeria,AFR,2019.583,strongly agree,66.04,14.95,41.60,92.43,
Algeria,AFR,2019.750,strongly agree,68.27,14.26,42.52,93.89,
Algeria,AFR,2019.833,strongly agree,69.17,14.92,43.50,94.55,
Algeria,AFR,2019.917,strongly agree,70.01,14.15,42.99,94.24,
Algeria,AFR,2020.000,strongly agree,67.88,14.79,40.19,94.35,
Benin,AFR,2015.833,strongly agree,72.02,15.83,39.38,94.90,
Benin,AFR,2016.333,strongly agree,73.41,14.23,46.13,95.13,
Benin,AFR,2018.250,strongly agree,72.71,10.41,52.44,92.18,
Benin,AFR,2018.333,strongly agree,72.45,9.13,54.01,89.00,
Benin,AFR,2018.417,strongly agree,73.62,7.39,60.75,88.13,
Benin,AFR,2018.500,strongly agree,71.69,6.67,58.36,82.79,
Benin,AFR,2018.583,strongly agree,70.17,1.63,67.10,73.40,
Benin,AFR,2018.667,strongly agree,67.85,6.41,56.00,80.59,
Benin,AFR,2018.750,strongly agree,67.48,9.41,48.36,83.29,
Benin,AFR,2018.833,strongly agree,67.13,11.49,44.81,88.02,
Benin,AFR,2018.917,strongly agree,66.90,13.45,37.64,86.89,
Benin,AFR,2019.250,strongly agree,66.40,19.71,25.64,93.05,
Benin,AFR,2019.583,strongly agree,67.42,20.52,23.70,95.54,
Benin,AFR,2019.750,strongly agree,66.60,19.89,27.58,94.93,
Benin,AFR,2019.833,strongly agree,66.35,19.02,28.95,94.42,
Benin,AFR,2019.917,strongly agree,67.02,18.63,29.19,93.17,
Benin,AFR,2020.000,strongly agree,64.16,19.25,27.94,93.81,
Botswana,AFR,2015.833,strongly agree,69.71,18.03,35.73,98.52,
Botswana,AFR,2016.333,strongly agree,67.89,19.29,29.55,96.82,
Botswana,AFR,2018.250,strongly agree,70.19,12.91,44.65,90.35,
Botswana,AFR,2018.333,strongly agree,70.67,12.29,45.76,90.07,
Botswana,AFR,2018.417,strongly agree,73.00,10.77,51.72,90.15,
Botswana,AFR,2018.500,strongly agree,73.14,9.60,54.76,89.13,
Botswana,AFR,2018.583,strongly agree,73.76,8.68,55.83,88.02,
Botswana,AFR,2018.667,strongly agree,73.85,6.75,60.15,85.90,
Botswana,AFR,2018.750,strongly agree,74.98,6.25,63.22,87.32,
Botswana,AFR,2018.833,strongly agree,76.34,2.19,71.59,80.20,
Botswana,AFR,2018.917,strongly agree,77.13,5.52,66.78,87.66,
Botswana,AFR,2019.250,strongly agree,76.17,11.79,54.88,97.55,
Botswana,AFR,2019.583,strongly agree,74.37,14.70,46.60,97.59,
Botswana,AFR,2019.750,strongly agree,73.29,15.47,43.32,97.06,
