country or territory,who_region,time,response,mean,standard_dev,95%HPDlow,95%HPDhigh,
Algeria,AFR,2015.833,strongly agree,75.76,2.15,71.85,80.19,
Algeria,AFR,2016.333,strongly agree,71.32,11.27,51.68,92.32,
Algeria,AFR,2018.250,strongly agree,51.90,15.67,25.34,84.63,
Algeria,AFR,2018.333,strongly agree,49.81,12.57,23.67,72.16,
Algeria,AFR,2018.417,strongly agree,51.59,11.27,27.67,71.10,
Algeria,AFR,2018.500,strongly agree,48.29,10.59,26.16,67.42,
Algeria,AFR,2018.583,strongly agree,47.54,8.62,31.07,63.58,
Algeria,AFR,2018.667,strongly agree,45.18,6.52,31.17,56.85,
Algeria,AFR,2018.750,strongly agree,43.02,1.67,39.95,46.49,
Algeria,AFR,2018.833,strongly agree,46.17,7.33,32.22,60.35,
Algeria,AFR,2018.917,strongly agree,45.60,8.12,31.14,63.08,
Algeria,AFR,2019.250,strongly agree,49.80,15.74,13.12,74.06,
Algeria,AFR,2019.583,strongly agree,44.74,17.75,11.20,73.07,
Algeria,AFR,2019.750,strongly agree,39.50,16.33,10.25,68.23,
Algeria,AFR,2019.833,strongly agree,36.51,15.93,7.42,61.44,
Algeria,AFR,2019.917,strongly agree,35.52,15.40,7.20,60.95,
Algeria,AFR,2020.000,strongly agree,32.49,14.17,6.61,59.63,
Benin,AFR,2015.833,strongly agree,48.29,17.88,18.79,81.03,
Benin,AFR,2016.333,strongly agree,48.72,17.81,15.45,81.92,
Benin,AFR,2018.250,strongly agree,62.30,9.81,41.53,78.95,
Benin,AFR,2018.333,strongly agree,61.21,8.15,46.00,76.29,
Benin,AFR,2018.417,strongly agree,63.84,7.06,49.60,76.18,
Benin,AFR,2018.500,strongly agree,62.44,6.56,49.33,74.29,
Benin,AFR,2018.583,strongly agree,63.84,1.70,60.75,67.26,
Benin,AFR,2018.667,strongly agree,62.03,5.72,51.12,72.96,
Benin,AFR,2018.750,strongly agree,62.78,7.01,48.93,75.93,
Benin,AFR,2018.833,strongly agree,63.51,8.46,46.22,78.66,
Benin,AFR,2018.917,strongly agree,62.86,9.12,45.48,79.17,
Benin,AFR,2019.250,strongly agree,60.27,14.67,33.43,87.52,
Benin,AFR,2019.583,strongly agree,57.88,16.75,26.77,85.61,
Benin,AFR,2019.750,strongly agree,58.03,15.96,28.05,86.59,
Benin,AFR,2019.833,strongly agree,57.62,17.00,27.40,91.13,
Benin,AFR,2019.917,strongly agree,58.62,16.81,25.31,89.24,
Benin,AFR,2020.000,strongly agree,57.50,16.68,28.22,89.64,
Botswana,AFR,2015.833,strongly agree,72.94,15.92,42.10,96.60,
Botswana,AFR,2016.333,strongly agree,71.89,15.03,45.43,95.94,
Botswana,AFR,2018.250,strongly agree,82.12,9.71,63.66,97.13,
Botswana,AFR,2018.333,strongly agree,81.71,10.05,63.39,97.05,
Botswana,AFR,2018.417,strongly agree,82.73,8.20,66.51,94.89,
Botswana,AFR,2018.500,strongly agree,81.38,7.76,66.19,93.53,
Botswana,AFR,2018.583,strongly agree,80.88,7.23,66.78,93.12,
Botswana,AFR,2018.667,strongly agree,78.20,6.76,65.07,90.13,
Botswana,AFR,2018.750,strongly agree,76.25,6.14,64.20,87.80,
Botswana,AFR,2018.833,strongly agree,74.94,2.16,70.50,78.96,
Botswana,AFR,2018.917,strongly agree,71.53,5.37,60.39,80.88,
Botswana,AFR,2019.250,strongly agree,61.10,12.28,36.23,82.25,
Botswana,AFR,2019.583,strongly agree,56.71,14.86,30.54,83.66,
Botswana,AFR,2019.750,strongly agree,57.55,15.12,28.99,84.97,
Botswana,AFR,2019.833,strongly agree,58.04,16.26,26.99,86.65,
Botswana,AFR,2019.917,strongly agree,60.31,14.89,34.54,90.17,
Botswana,AFR,2020.000,strongly agree,60.44,15.75,30.20,88.70,
Burkina Faso,AFR,2015.833,strongly agree,58.20,11.98,34.08,78.17,
Burkina Faso,AFR,2016.333,strongly agree,57.32,1.15,55.30,59.69,
Burkina Faso,AFR,2018.250,strongly agree,55.23,11.56,37.61,79.76,
Burkina Faso,AFR,2018.333,strongly agree,53.94,8.69,37.09,69.44,
Burkina Faso,AFR,2018.417,strongly agree,56.71,6.71,44.11,69.48,
Burkina Faso,AFR,2018.500,strongly agree,56.00,1.79,52.61,59.46,
Burkina Faso,AFR,2018.583,strongly agree,58.65,7.24,43.02,71.18,
Burkina Faso,AFR,2018.667,strongly agree,58.11,9.46,37.76,73.34,
Burkina Faso,AFR,2018.750,strongly agree,59.40,11.21,33.26,75.73,
Burkina Faso,AFR,2018.833,strongly agree,62.15,12.31,35.31,80.03,
Burkina Faso,AFR,2018.917,strongly agree,62.04,14.76,32.27,84.22,
Burkina Faso,AFR,2019.250,strongly agree,62.62,14.60,35.46,88.25,
Burkina Faso,AFR,2019.583,strongly agree,63.64,11.46,41.11,82.73,
Burkina Faso,AFR,2019.750,strongly agree,63.78,12.78,39.74,87.38,
Burkina Faso,AFR,2019.833,strongly agree,64.36,14.02,38.21,89.06,
Burkina Faso,AFR,2019.917,strongly agree,65.53,14.42,37.81,89.64,
Burkina Faso,AFR,2020.000,strongly agree,64.11,16.41,34.89,91.48,
Burundi,AFR,2015.833,strongly agree,78.97,13.26,52.52,97.95,
Burundi,AFR,2016.333,strongly agree,74.19,16.89,42.15,97.95,
Burundi,AFR,2018.250,strongly agree,81.32,9.87,61.78,96.70,
Burundi,AFR,2018.333,strongly agree,81.32,8.58,64.64,94.89,
Burundi,AFR,2018.417,strongly agree,82.93,6.96,68.97,94.52,
Burundi,AFR,2018.500,strongly agree,81.81,6.72,69.42,94.41,
Burundi,AFR,2018.583,strongly agree,82.42,5.18,72.31,91.42,
Burundi,AFR,2018.667,strongly agree,81.30,4.35,74.07,89.46,
Burundi,AFR,2018.750,strongly agree,81.35,1.25,79.09,83.91,
Burundi,AFR,2018.833,strongly agree,81.14,4.44,72.84,89.02,
Burundi,AFR,2018.917,strongly agree,80.42,5.22,70.49,90.60,
Burundi,AFR,2019.250,strongly agree,79.01,9.45,60.52,96.41,
Burundi,AFR,2019.583,strongly agree,79.90,12.67,52.61,96.54,
Burundi,AFR,2019.750,strongly agree,81.29,13.24,51.26,96.64,
Burundi,AFR,2019.833,strongly agree,81.87,13.17,52.81,96.28,
Burundi,AFR,2019.917,strongly agree,82.93,13.11,54.20,96.60,
Burundi,AFR,2020.000,strongly agree,82.46,13.41,49.62,96.37,
Cameroon,AFR,2015.833,strongly agree,66.00,15.46,38.52,93.37,
Cameroon,AFR,2016.333,strongly agree,67.70,16.95,34.43,94.85,
Cameroon,AFR,2018.250,strongly agree,58.81,6.97,45.49,73.50,
Cameroon,AFR,2018.333,strongly agree,57.96,1.59,54.79,61.02,
Cameroon,AFR,2018.417,strongly agree,59.14,6.81,47.09,74.10,
Cameroon,AFR,2018.500,strongly agree,56.50,8.15,42.46,72.76,
Cameroon,AFR,2018.583,strongly agree,56.62,10.39,37.08,76.91,
Cameroon,AFR,2018.667,strongly agree,54.41,11.41,34.91,78.06,
Cameroon,AFR,2018.750,strongly agree,54.24,13.08,28.03,77.57,
Cameroon,AFR,2018.833,strongly agree,55.85,13.14,30.37,79.12,
